 # t in s, Drehfrequenz in Hz
 0     ; 33
 30    ; 31.8
 60    ; 30.7
 90    ; 29.7
 120   ; 28.7
 150   ; 27.7
 180   ; 26.8
 210   ; 25.8
 240   ; 25.0
 270   ; 24.1
 300   ; 23.2
 330   ; 22.4
 360   ; 21.5
 390   ; 20.7
 420   ; 19.9
 450   ; 19.1
 480   ; 18.3
 510   ; 17.3
 540   ; 16.4
 570   ; 15.6
 600   ; 14.9
 630   ; 14.1
 660   ; 13.4
 690   ; 12.7
 720   ; 12.1
 750   ; 11.4
 780   ; 10.7
 810   ; 10.0
 840   ; 9.3
 870   ; 8.7
 900   ; 8.0
 930   ; 7.4
 960   ; 6.8
 990   ; 6.2
 1020  ; 5.6
 1050  ; 5.0
 1080  ; 4.3
 1110  ; 3.8
 1140  ; 3.1
 1170  ; 2.4
 1200  ; 1.7
 1230  ; 1.0
 1260  ; 0.5
 1290  ; 0
